trial_index,block_index,block_trial,block_mu,block_sigma,trial_mu_deviation,trial_mu,trial_sigma,trial_mean,initial_ori,final_ori,rt
0,-1,-1,-1,-1,0,196,5,-2.86198104972,242,334.5,8.15028996824
1,-1,-1,-1,-1,0,254,5,-1.83978241647,194,244.8,6.01712311297
2,-1,-1,-1,-1,0,283,5,-1.34448205682,258,308.2,4.65005649046
3,-1,-1,-1,-1,0,82,5,1.43506707783,299,94.3,2.70108112138
4,-1,-1,-1,-1,0,323,5,-0.639218220813,260,319.1,4.60018943847
5,-1,-1,-1,-1,0,51,5,0.903594464132,300,47.8,2.76704440666
6,-1,-1,-1,-1,0,220,5,-2.45227289942,109,218.0,2.95219908305
7,-1,-1,-1,-1,0,66,5,1.16058528916,227,49.3,2.80027492122
8,0,0,68,20,-10,78,40,1.49497112537,158,93.6,4.34997731628
9,0,1,68,20,0,68,40,1.22980129665,10,15.5,3.30010543476
10,0,2,68,20,-20,88,40,1.52350634135,316,73.4,2.73341424815
11,0,3,68,20,30,38,10,0.674995317809,272,36.8,3.23318318513
12,0,4,68,20,-10,78,40,1.45991177612,36,88.3,3.31709090602
13,0,5,68,20,0,68,10,1.18745646953,149,55.8,7.20040543938
14,0,6,68,20,-10,78,10,1.36076377406,196,66.0,3.833450198
15,0,7,68,20,0,68,10,1.19774187249,123,54.5,4.51700192185
16,0,8,68,20,0,68,40,1.15948792565,19,123.5,7.71682238392
17,0,9,68,20,0,68,10,1.20268900779,338,67,1.71697240133
18,0,10,68,20,10,58,10,0.992102137538,208,50.1,4.10035862309
19,0,11,68,20,10,58,40,0.993433123672,308,138.6,2.90032264306
20,0,12,68,20,10,58,10,1.00249931354,138,44.8,5.06702366985
21,0,13,68,20,0,68,40,1.2951009887,72,95.2,3.33361726969
22,0,14,68,20,30,38,10,0.62059493692,352,15.3,3.16698446007
23,0,15,68,20,0,68,10,1.17838086795,343,75.0,1.90031992645
24,0,16,68,20,20,48,40,0.828564508576,118,354.6,4.16698989329
25,0,17,68,20,-40,108,40,1.7031676264,206,49.5,8.85047430552
26,0,18,68,20,10,58,40,1.06484949297,252,50.3,2.75032818193
27,0,19,68,20,10,58,40,0.893647569655,359,22.6,3.1836348824
28,0,20,68,20,-10,78,10,1.34838534611,79,84.3,3.80033498856
29,0,21,68,20,-20,88,10,1.55479391897,257,99.9,2.43367042475
30,0,22,68,20,-20,88,10,1.5118160458,257,93.4,2.73363610487
31,0,23,68,20,0,68,40,1.18783363398,242,30.4,3.41701215443
32,0,24,68,20,0,68,40,1.2531839406,271,78.1,4.0503343094
33,0,25,68,20,-20,88,40,1.55826672368,150,128.9,5.70040830692
34,0,26,68,20,20,48,10,0.837303914091,211,43.2,4.56717987509
35,0,27,68,20,20,48,10,0.820306712252,102,37.9,4.01696705865
36,0,28,68,20,-10,78,10,1.34293830752,310,85.9,1.85031794936
37,0,29,68,20,-10,78,40,1.27097941683,74,136.1,4.51688208904
38,0,30,68,20,10,58,10,0.988828833572,308,51.5,2.01717171016
39,0,31,68,20,30,38,10,0.674587940301,26,48.9,1.86703236301
40,0,32,68,20,40,28,40,0.43444922458,331,323.5,2.48364915971
41,0,33,68,20,10,58,10,0.979370001933,59,58.8,2.33363658783
