trial_index,block_index,block_trial,block_mu,block_sigma,trial_mu_deviation,trial_mu,trial_sigma,trial_mean,initial_ori,final_ori,rt
0,0,0,68,20,20,48,10,0.846788749774,19,61.1,2.83532109996
1,0,1,68,20,30,38,10,0.650112081151,96,51.7,2.601302
2,0,2,68,20,-10,78,40,1.3722575019,278,63.3,1.7696934999
3,0,3,68,20,10,58,40,1.05082344128,42,75.8,1.81949159992
4,0,4,68,20,30,38,40,0.585689380194,21,73.4,1.49952710001
5,0,5,68,20,10,58,10,0.993280286545,6,59.8,1.28709810018
6,0,6,68,20,10,58,10,1.00444130488,98,67.9,2.46689109993
7,0,7,68,20,10,58,10,1.06932509379,125,61.7,2.86746969982
8,0,8,68,20,10,58,40,1.04540239081,272,87.5,19.1938149
9,0,9,68,20,-40,108,40,1.95646329831,141,264,2.58821860002
