trial_index,block_index,block_trial,block_mu,block_sigma,trial_mu_deviation,trial_mu,trial_sigma,trial_mean,initial_ori,final_ori,rt
0,-1,-1,-1,-1,0,203,5,-2.74188941451,268,203.3,4.44993790006
1,-1,-1,-1,-1,0,14,5,0.236508170945,273,17.6,2.26968979998
2,-1,-1,-1,-1,0,177,5,3.06947900863,226,173.8,1.16771850002
3,-1,-1,-1,-1,0,119,5,2.08253497069,349,117.1,1.50026840006
4,-1,-1,-1,-1,0,203,5,-2.74200566131,157,209.0,1.41087339993
5,-1,-1,-1,-1,0,92,5,1.61077500328,136,88.3,4.21831829997
6,-1,-1,-1,-1,0,218,5,-2.47703449331,235,225.9,1.34976240003
7,-1,-1,-1,-1,0,333,5,-0.46896374548,108,21.5,1.717451
8,0,0,22,20,-20,42,10,0.726285509835,125,40.9,2.3179431
9,0,1,22,20,-30,52,40,0.936905602177,120,48.5,2.76833939995
10,0,2,22,20,-50,72,40,1.21215042904,137,52.3,3.39955470001
