trial_index,block_index,block_trial,block_mu,block_sigma,trial_mu_deviation,trial_mu,trial_sigma,trial_mean,initial_ori,final_ori,rt
0,-1,-1,-1,-1,0,275,5,-1.48122225072,119,286,13.3771353
1,-1,-1,-1,-1,0,4,5,0.0682823899483,269,136,14.4458398999
2,-1,-1,-1,-1,0,37,5,0.640556126649,332,73,4.51990399999
3,-1,-1,-1,-1,0,222,5,-2.39420362037,353,52,3.08659910003
4,-1,-1,-1,-1,0,235,5,-2.18106962483,151,254,5.74486530002
5,-1,-1,-1,-1,0,101,5,1.76831388711,238,167,28.3718999
6,-1,-1,-1,-1,0,286,5,-1.28826056941,53,352,4.38779499999
7,-1,-1,-1,-1,0,39,5,0.689166551554,146,259,3.72016640007
8,0,0,22,20,10,12,10,0.193481352855,204,201,9.20777660003
9,0,1,22,20,40,-18,40,-0.385190263588,203,202,3.03633239993
10,0,2,22,20,20,2,40,-0.0430006684727,115,290,3.51832610008
